Altium Designer Pick and Place Locations
E:\CMT24Stuff\CloudStuff\ESP_32_MacroPad\Assembly\Pick Place for ESP-MACRO-1.csv

========================================================================================================================
File Design Information:

Date:       28/07/25
Time:       20:53
Revision:   e3aff9170f714b587411415f1af7bcdb74bb5475
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R16","Resistor 4k7 +/-1% 0603 100 mW","TopLayer","RESC1608X55X25ML10T15","522.949","3236.608","90","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
"R15","Resistor 4k7 +/-1% 0603 100 mW","TopLayer","RESC1608X55X25ML10T15","602.301","3236.122","90","Chip Resistor, 4.7 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)"
"U8","SK6812MINI-E","BottomLayer","Copy_of_ADAI-WS2812B_V","1853.527","382.327","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U7","SK6812MINI-E","BottomLayer","Copy_of_ADAI-WS2812B_V","1083.320","382.268","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U6","SK6812MINI-E","BottomLayer","Copy_of_ADAI-WS2812B_V","311.861","382.096","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U5","SK6812MINI-E","BottomLayer","Copy_of_ADAI-WS2812B_V","316.161","1199.724","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U4","SK6812MINI-E","BottomLayer","Copy_of_ADAI-WS2812B_V","1084.597","1199.560","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U3","SK6812MINI-E","BottomLayer","Copy_of_ADAI-WS2812B_V","1869.290","1198.141","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U2","WS2812B","TopLayer","ADAI-WS2812B_V","730.180","2125.484","180","Intelligent Control LED Integrated Light Source, 3.5 to 5.3 V, -25 to 80 degC, 4-Pin SMD, RoHS, Bulk"
"U1","ESP32-C6-WROOM-1-N8","TopLayer","ESP32-C6-WROOM-1-N8-Footprint-1","524.072","2717.728","90","ESP32-C6-WROOM-1-N8 Engineering Module - 8 MB Quad SPI Flash"
